trainnumber,connectionnumber,crowding,weekday,from,fromURL,to,toURL
S103857,1,?,1,http://irail.be/stations/NMBS/008893401,http://irail.be/stations/NMBS/008893443
S103857,2,?,1,http://irail.be/stations/NMBS/008893443,http://irail.be/stations/NMBS/008812161
S103857,3,?,1,http://irail.be/stations/NMBS/008812161,http://irail.be/stations/NMBS/008812153
S103857,4,?,1,http://irail.be/stations/NMBS/008812153,http://irail.be/stations/NMBS/008812146
S103857,5,?,1,http://irail.be/stations/NMBS/008812146,http://irail.be/stations/NMBS/008812120
S103857,6,?,1,http://irail.be/stations/NMBS/008812120,http://irail.be/stations/NMBS/008812112
S103857,7,?,1,http://irail.be/stations/NMBS/008812112,http://irail.be/stations/NMBS/008812070
S103857,8,1,1,http://irail.be/stations/NMBS/008812070,http://irail.be/stations/NMBS/008812062
S103857,9,1,1,http://irail.be/stations/NMBS/008812062,http://irail.be/stations/NMBS/008812047
S103857,10,1,1,http://irail.be/stations/NMBS/008812047,http://irail.be/stations/NMBS/008815016
S103857,11,1,1,http://irail.be/stations/NMBS/008815016,http://irail.be/stations/NMBS/008812013
S103857,12,1,1,http://irail.be/stations/NMBS/008812013,http://irail.be/stations/NMBS/008815040
S103857,13,1,1,http://irail.be/stations/NMBS/008815040,http://irail.be/stations/NMBS/008814001
S103857,14,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813003
S103857,15,?,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005
S103857,16,?,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008812021
S103857,17,?,1,http://irail.be/stations/NMBS/008812021,http://irail.be/stations/NMBS/008812047
S103857,18,?,1,http://irail.be/stations/NMBS/008812047,http://irail.be/stations/NMBS/008812211
S103857,19,?,1,http://irail.be/stations/NMBS/008812211,http://irail.be/stations/NMBS/008812229
S103857,20,?,1,http://irail.be/stations/NMBS/008812229,http://irail.be/stations/NMBS/008812237
S103857,21,?,1,http://irail.be/stations/NMBS/008812237,http://irail.be/stations/NMBS/008812245
S103857,22,?,1,http://irail.be/stations/NMBS/008812245,http://irail.be/stations/NMBS/008812252
S103857,23,?,1,http://irail.be/stations/NMBS/008812252,http://irail.be/stations/NMBS/008812260
S103857,24,?,1,http://irail.be/stations/NMBS/008812260,http://irail.be/stations/NMBS/008895836
S103857,25,?,1,http://irail.be/stations/NMBS/008895836,http://irail.be/stations/NMBS/008895802
S103857,26,?,1,http://irail.be/stations/NMBS/008895802,http://irail.be/stations/NMBS/008895091
S103857,27,?,1,http://irail.be/stations/NMBS/008895091,http://irail.be/stations/NMBS/008895000

L562,1,?,1,http://irail.be/stations/NMBS/008891173,http://irail.be/stations/NMBS/008891629
L562,2,?,1,http://irail.be/stations/NMBS/008891629,http://irail.be/stations/NMBS/008891033
L562,3,?,1,http://irail.be/stations/NMBS/008891033,http://irail.be/stations/NMBS/008891009
L562,4,2,1,http://irail.be/stations/NMBS/008891009,http://irail.be/stations/NMBS/008891116
L562,5,2,1,http://irail.be/stations/NMBS/008891116,http://irail.be/stations/NMBS/008891124
L562,6,2,1,http://irail.be/stations/NMBS/008891124,http://irail.be/stations/NMBS/008891132
L562,7,2,1,http://irail.be/stations/NMBS/008891132,http://irail.be/stations/NMBS/008891140
L562,8,2,1,http://irail.be/stations/NMBS/008891140,http://irail.be/stations/NMBS/008891157
L562,9,2,1,http://irail.be/stations/NMBS/008891157,http://irail.be/stations/NMBS/008891165
L562,10,2,1,http://irail.be/stations/NMBS/008891165,http://irail.be/stations/NMBS/008892056
L562,11,2,1,http://irail.be/stations/NMBS/008892056,http://irail.be/stations/NMBS/008892031
L562,12,2,1,http://irail.be/stations/NMBS/008892031,http://irail.be/stations/NMBS/008892007
L562,13,?,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008893013
L562,14,?,1,http://irail.be/stations/NMBS/008893013,http://irail.be/stations/NMBS/008893039
L562,15,?,1,http://irail.be/stations/NMBS/008893039,http://irail.be/stations/NMBS/008893567
L562,16,?,1,http://irail.be/stations/NMBS/008893567,http://irail.be/stations/NMBS/008893559
L562,17,?,1,http://irail.be/stations/NMBS/008893559,http://irail.be/stations/NMBS/008893542
L562,18,?,1,http://irail.be/stations/NMBS/008893542,http://irail.be/stations/NMBS/008893534
L562,19,?,1,http://irail.be/stations/NMBS/008893534,http://irail.be/stations/NMBS/008893526
L562,20,?,1,http://irail.be/stations/NMBS/008893526,http://irail.be/stations/NMBS/008893518
L562,21,?,1,http://irail.be/stations/NMBS/008893518,http://irail.be/stations/NMBS/008893401
L562,22,?,1,http://irail.be/stations/NMBS/008893401,http://irail.be/stations/NMBS/008822160
L562,23,?,1,http://irail.be/stations/NMBS/008822160,http://irail.be/stations/NMBS/008822145
L562,24,?,1,http://irail.be/stations/NMBS/008822145,http://irail.be/stations/NMBS/008822137
L562,25,?,1,http://irail.be/stations/NMBS/008822137,http://irail.be/stations/NMBS/008822111
L562,26,?,1,http://irail.be/stations/NMBS/008822111,http://irail.be/stations/NMBS/008822053
L562,27,?,1,http://irail.be/stations/NMBS/008822053,http://irail.be/stations/NMBS/008822004

IC2228,1,?,1,http://irail.be/stations/NMBS/008831310,http://irail.be/stations/NMBS/008831138
IC2228,2,?,1,http://irail.be/stations/NMBS/008831138,http://irail.be/stations/NMBS/008831112
IC2228,3,?,1,http://irail.be/stations/NMBS/008831112,http://irail.be/stations/NMBS/008831005
IC2228,4,1,1,http://irail.be/stations/NMBS/008831005,http://irail.be/stations/NMBS/008831401
